,id,ticker,close,dividend,earnings,growth_rev_5y,growth_ear_5y,growth_div_5y,equity_ratio,p/e,profit_return,direct_return,country
1264,1486,REALFI,,0.0,-1.0137,,,,0.22477306565486765,,,,1
1265,1487,SEDANA,,0.0,-0.3561,,,,0.9406691456236045,,,,1
1266,1488,SECS MTF,,0.0,0.0793,,,,0.46701394116407213,,,,1
1267,1489,SUS,,0.0,-0.9292,,,,0.7965462226191311,,,,1
1268,1490,TRIAN B,,1.5,7.4436,,,,0.3417432331760616,,,,1
1269,1491,N55 MTF,,0.0,-1.6821,,,,0.2814670403314244,,,,1
1270,1492,SDS,,0.0,0.0595,,,,0.2595064614443485,,,,1
1271,1515,ROVIO,,0.09,0.3179,0.9470174435257164,1.144705975913243,,0.7844488188976378,,,,3
1272,1516,INFRNT,,0.45,0.7403,0.8774962218761302,0.9730413715137022,,0.39417765969972,,,,2
1273,1517,BALCO,,2.0,3.668,0.970633345058322,,,0.4143152746425884,,,,1
1274,1518,ENRAD,,0.0,-1.1491,1.3193288244591879,,,0.6433903977345862,,,,1
1275,1520,QUART,,0.0,0.3541,,,,0.567542124001746,,,,1
1276,1521,OBDU PREF B,,0.2,0.0,,,,,,,,1
1277,1522,ISAB,,0.0,-0.7706,,,,0.6767329533092554,,,,1
1278,1523,SENZA,,0.0,-0.8404,,,,0.9294685990338165,,,,1
1279,1524,XSPRAY,,0.0,-1.6992,,,,0.9655375458021985,,,,1
1280,1525,SILMA,,0.1,0.2283,,,,0.41425104090613096,,,,3
1281,1526,FONDIA,,0.35,0.3826,,,,0.6377960367327211,,,,3
1282,1527,KAMUX,,0.16,0.3534,,,,0.5991304347826087,,,,3
1283,1528,REMEDY,,0.1,0.044,,,,0.7909132727079722,,,,3
1284,1529,GREENM,,0.0,-19.8769,,,,-0.06089960551807847,,,,4
1285,1530,CONFRZ,,0.0,-0.3232,,,,0.8653781157583438,,,,4
1286,1532,BDRILL,,0.0,-14.5773,,,,0.5263067577307203,,,,2
1287,1533,BGBIO,,0.0,-3.5047,,,,0.8903295972293347,,,,2
1288,1534,EVRY,,1.75,1.7259,,,,0.257330113832356,,,,2
1289,1535,FJORD,,2.7,5.3866,,,,0.34636538859801885,,,,2
1290,1536,AGS,,0.777,0.0853,,,,0.5496295070663272,,,,2
1291,1538,BIOA B,,1.5,4.3334,,,,0.7305852946285898,,,,1
1292,1539,FRAM B,,0.0,-2.7951,,,,0.9227188704037771,,,,1
1293,1540,HANDI,,0.5405,2.0386,0.8136680786875491,,,0.5098214285714285,,,,1
1294,1541,NLFSK,,0.0,2.7427,,,,0.18567472306143,,,,4
1295,1542,CLIME B,,0.0,-2.3103,,,,0.5881245360174852,,,,1
1296,1543,QIIWI,,0.0,-0.6165,1.3212778109737695,,,0.8899697719153614,,,,1
1297,1544,GLOBAL,,0.0,3.0872,,,,0.6814101160499234,,,,1
1298,1545,SBB PREF,,35.0,0.0,,,,,,,,1
1299,1546,FNM,,7.5,14.39,0.82766179122555,1.5901024613188204,,0.37974852095842015,,,,1
1300,1547,BUBL MTF,,0.0,-0.747,,,,0.9075097878931292,,,,1
1301,1548,TOUCH,,0.0,-0.8168,1.0277288696205567,,,0.5812583159095228,,,,1
1302,1549,ASAI,,0.0,-80.2966,0.8667918679104669,,,0.43723609326234625,,,,1
1303,1550,2CUREX,,0.0,-0.795,,,,0.5231500620090946,,,,1
1304,1551,TPGR MTF,,1.0,1.3736,0.7850299257323365,1.084169209853904,1.0325882661698758,0.6517000043833374,,,,1
1305,1552,SEA MTF,,0.0,-1.0806,,,,0.2884464734325617,,,,1
1306,1553,BIBB,,0.0,-0.9414,,,,0.8931062855507459,,,,1
1307,1556,FLEXQ,,0.0,-1.0841,,,,0.8071010520077049,,,,1
1308,1557,AWRD,,2.2,3.1091,1.2946566345759476,0.9871998503218555,0.8218759147586129,0.37387053948585913,,,,1
1309,1558,ATVEXA B,,0.0,3.3765,,,,0.5909774630749116,,,,1
